GeoID,Geography,Time,Value,CI,Note,Indicator
1,New York City,2020,62.4,,"The start of COVID-19 in Spring 2020 reduced the overall volume of ED visits, including those for asthma, which may have contributed to decreases in asthma ED visit and hospitalization counts and rates in 2020.","Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2019,196.4,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2018,240.3,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2017,253.7,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2016,292.6,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2015,307,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2014,319.8,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2013,354.5,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2012,368.2,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2011,370.2,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2010,384.1,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2009,389.3,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2008,382.8,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2007,395.5,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2006,413.1,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,New York City,2005,377.2,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2020,128.3,,"The start of COVID-19 in Spring 2020 reduced the overall volume of ED visits, including those for asthma, which may have contributed to decreases in asthma ED visit and hospitalization counts and rates in 2020.","Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2019,389.8,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2018,475.2,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2016,601.5,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2015,641.7,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2014,688,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2013,751.5,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2012,686.2,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2011,606.1,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2010,643.9,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2009,639.2,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2008,681.9,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2007,700.3,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2006,771.7,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
1,Bronx,2005,684.9,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
2,Brooklyn,2020,46.8,,"The start of COVID-19 in Spring 2020 reduced the overall volume of ED visits, including those for asthma, which may have contributed to decreases in asthma ED visit and hospitalization counts and rates in 2020.","Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
2,Brooklyn,2019,149,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
2,Brooklyn,2018,192.1,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
2,Brooklyn,2016,228,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
2,Brooklyn,2015,240.4,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
2,Brooklyn,2014,245.9,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
2,Brooklyn,2013,281.4,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
2,Brooklyn,2012,311.4,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
2,Brooklyn,2011,329.2,,,"Asthma emergency department visits (age 4 and under): Asthma emergency department visits (age 4 and under) Estimated annual rate (per 10,000) by Borough"
